Time,Percentage
00:36:58,4700.0
00:36:59,5950.0
00:37:00,5133.3
00:37:01,4825.0
00:37:02,5320.0
00:37:03,4483.3
00:37:04,4000.0
00:37:05,4050.0
00:37:06,4655.6
00:37:07,4630.0
00:37:08,4618.2
00:37:09,5000.0
00:37:10,5161.5
00:37:11,5321.4
00:37:12,5126.7
00:37:13,5312.5
00:37:14,5200.0
00:37:15,5077.8
00:37:16,5147.4
00:37:17,5065.0
00:37:18,4847.6
00:37:19,4818.2
00:37:20,4904.3
00:37:21,4900.0
00:37:22,4992.0
00:37:23,4803.8
00:37:24,4733.3
00:37:25,4871.4
00:37:26,4893.1
